id,Model,percent,AI Response
1,GPT-3.5,0,95
2,GPT-3.5,0,95
3,GPT-3.5,0,95
4,GPT-3.5,0,50
5,GPT-3.5,0,95
6,GPT-3.5,0,85
7,GPT-3.5,0,95
8,GPT-3.5,0,95
9,GPT-3.5,0,95
10,GPT-3.5,0,85
11,GPT-3.5,0,85
12,HUMAN,0,95
13,HUMAN,0,95
14,HUMAN,0,85
15,GPT-3.5,0,85
16,HUMAN,0,95
17,HUMAN,0,95
18,HUMAN,0,95
19,GPT-3.5,0,75
20,HUMAN,0,95
21,HUMAN,0,95
22,HUMAN,0,75
23,GPT-3.5,0,95
24,HUMAN,0,95
25,HUMAN,0,95
26,HUMAN,0,95
27,HUMAN,0,85
28,HUMAN,0,85
29,HUMAN,0,85
30,GPT-3.5,0,95
31,HUMAN,0,95
32,HUMAN,0,95
33,HUMAN,0,80
34,GPT-3.5,0,85
35,GPT-3.5,0,95
36,HUMAN,0,75
37,HUMAN,0,85
38,HUMAN,0,80
39,GPT-3.5,0,95
40,GPT-3.5,0,95
41,HUMAN,0,95
42,HUMAN,0,95
43,HUMAN,0,50
44,GPT-3.5,0,95
45,HUMAN,0,85
46,HUMAN,0,95
47,GPT-3.5,0,95
48,GPT-3.5,0,85
49,HUMAN,0,95
50,GPT-3.5,0,50
51,HUMAN,0,95
52,GPT-3.5,0,95
53,HUMAN,0,95
54,GPT-3.5,0,75
55,HUMAN,0,95
56,GPT-3.5,0,95
57,HUMAN,0,95
58,GPT-3.5,0,95
59,HUMAN,0,95
60,GPT-3.5,0,95
61,HUMAN,0,95
62,GPT-3.5,0,95
63,HUMAN,0,95
64,GPT-3.5,0,95
65,HUMAN,0,95
66,GPT-3.5,0,95
67,HUMAN,0,95
68,GPT-3.5,0,95
69,HUMAN,0,95
70,GPT-3.5,0,95
71,HUMAN,0,95
72,HUMAN,0,95
73,GPT-3.5,0,95
74,HUMAN,0,85
75,HUMAN,0,95
76,GPT-3.5,0,95
77,GPT-3.5,0,95
78,GPT-3.5,0,95
79,GPT-3.5,0,95
80,GPT-3.5,0,95
81,GPT-3.5,0,95
82,GPT-3.5,0,95
83,GPT-3.5,0,95
84,GPT-3.5,0,95
85,GPT-3.5,0,95
86,GPT-3.5,0,95
87,GPT-3.5,0,85
88,GPT-3.5,0,5
89,GPT-3.5,0,95
90,GPT-3.5,0,95
91,GPT-3.5,0,95
92,GPT-3.5,0,95
93,GPT-3.5,0,95
94,GPT-3.5,0,95
95,GPT-3.5,0,95
96,GPT-3.5,0,95
97,GPT-3.5,0,95
98,GPT-3.5,0,85
99,GPT-3.5,0,95
100,GPT-3.5,0,95
101,GPT-3.5,0,95
102,GPT-3.5,0,95
103,GPT-3.5,0,95
104,GPT-3.5,0,95
105,GPT-3.5,0,75
106,GPT-3.5,0,95
107,GPT-3.5,0,85
108,GPT-3.5,0,95
109,GPT-3.5,0,95
110,GPT-3.5,0,95
111,GPT-3.5,0,95
112,GPT-3.5,0,95
113,GPT-3.5,0,95
114,GPT-3.5,0,95
115,GPT-3.5,0,95
116,GPT-3.5,0,95
117,GPT-3.5,0,95
118,GPT-3.5,0,95
119,GPT-3.5,0,95
120,HUMAN,0,95
121,HUMAN,0,95
122,GPT-3.5,0,85
123,GPT-3.5,0,85
124,GPT-3.5,0,85
125,GPT-3.5,0,50
126,GPT-3.5,0,95
127,HUMAN,0,85
128,HUMAN,0,70
129,HUMAN,0,85
130,GPT-3.5,0,85
131,GPT-3.5,0,85
132,HUMAN,0,95
133,HUMAN,0,75
134,HUMAN,0,50
135,GPT-3.5,0,95
136,GPT-3.5,0,95
137,HUMAN,0,95
138,HUMAN,0,85
139,HUMAN,0,85
140,GPT-3.5,0,5
141,GPT-3.5,0,95
142,HUMAN,0,95
143,HUMAN,0,85
144,HUMAN,0,95
145,GPT-3.5,0,95
146,GPT-3.5,0,95
147,HUMAN,0,80
148,HUMAN,0,85
149,HUMAN,0,85
150,GPT-3.5,0,95
151,GPT-3.5,0,75
152,HUMAN,0,95
153,HUMAN,0,85
154,HUMAN,0,85
155,GPT-3.5,0,95
156,GPT-3.5,0,85
157,HUMAN,0,95
158,HUMAN,0,95
159,GPT-3.5,0,95
160,GPT-3.5,0,85
161,HUMAN,0,85
162,HUMAN,0,85
163,GPT-3.5,0,85
164,GPT-3.5,0,95
165,HUMAN,0,95
166,HUMAN,0,95
167,GPT-3.5,0,95
168,GPT-3.5,0,95
169,HUMAN,0,95
170,HUMAN,0,95
171,GPT-3.5,0,85
172,GPT-3.5,0,95
173,GPT-3.5,0,85
174,GPT-3.5,0,95
175,GPT-3.5,0,95
176,GPT-3.5,0,95
177,GPT-3.5,0,95
178,GPT-3.5,0,95
179,HUMAN,0,95
180,HUMAN,0,95
181,HUMAN,0,85
182,GPT-3.5,0,95
183,GPT-3.5,0,85
184,GPT-3.5,0,85
185,GPT-3.5,0,95
186,GPT-3.5,0,95
187,GPT-3.5,0,95
188,GPT-3.5,0,95
189,HUMAN,0,95
190,HUMAN,0,85
191,HUMAN,0,85
192,HUMAN,0,85
193,GPT-3.5,0,95
194,GPT-3.5,0,95
195,GPT-3.5,0,95
196,GPT-3.5,0,95
197,GPT-3.5,0,95
198,GPT-3.5,0,85
199,GPT-3.5,0,85
200,GPT-3.5,0,80
201,GPT-4,0,95
202,GPT-4,0,95
203,GPT-4,0,85
204,GPT-3.5,0,95
205,GPT-3.5,0,95
206,GPT-4,0,95
207,GPT-4,0,95
208,GPT-4,0,95
209,GPT-3.5,0,95
210,GPT-3.5,0,95
211,GPT-3.5,0,95
212,HUMAN,0,95
213,HUMAN,0,95
214,HUMAN,0,85
215,GPT-4,0,95
216,GPT-4,0,95
217,GPT-4,0,95
218,GPT-4,0,85
219,GPT-3.5,0,85
220,GPT-3.5,0,95
221,GPT-3.5,0,85
222,HUMAN,0,95
223,HUMAN,0,95
224,HUMAN,0,95
225,GPT-4,0,95
226,GPT-4,0,95
227,HUMAN,0,85
228,HUMAN,0,85
229,GPT-3.5,0,95
230,GPT-3.5,0,95
231,GPT-4,0,95
232,GPT-4,0,95
233,HUMAN,0,95
234,HUMAN,0,75
235,GPT-3.5,0,85
236,GPT-3.5,0,95
237,GPT-4,0,95
238,GPT-4,0,95
239,GPT-3.5,0,85
240,GPT-3.5,0,50
241,GPT-4,0,95
242,GPT-4,0,95
243,GPT-4,0,95
244,GPT-4,0,95
245,GPT-4,0,95
246,GPT-4,0,95
247,GPT-4,0,95
248,GPT-4,0,95
249,GPT-4,0,95
250,GPT-4,0,95
251,GPT-4,0,95
252,GPT-4,0,95
253,GPT-4,0,95
254,GPT-4,0,95
255,GPT-4,0,95
256,GPT-4,0,95
257,GPT-4,0,95
258,GPT-4,0,95
259,GPT-4,0,95
260,GPT-4,0,95
261,GPT-4,0,95
262,GPT-4,0,95
263,GPT-4,0,85
264,GPT-4,0,95
265,GPT-4,0,95
266,GPT-4,0,95
267,GPT-4,0,95
268,GPT-4,0,95
269,GPT-4,0,95
270,GPT-4,0,95
271,GPT-4,0,95
272,GPT-4,0,95
273,GPT-4,0,95
274,GPT-3.5,0,95
275,GPT-3.5,0,95
276,GPT-4,0,95
277,GPT-4,0,95
278,GPT-4,0,95
279,GPT-4,0,95
280,GPT-4,0,95
281,GPT-4,0,95
282,GPT-4,0,95
283,GPT-4,0,95
284,GPT-3.5,0,85
285,GPT-3.5,0,95
286,HUMAN,0,95
287,HUMAN,0,85
288,GPT-3.5,0,95
289,GPT-3.5,0,95
290,HUMAN,0,95
291,HUMAN,0,95
292,GPT-3.5,0,85
293,GPT-3.5,0,95
294,GPT-3.5,0,95
295,HUMAN,0,95
296,HUMAN,0,85
297,HUMAN,0,5
298,GPT-4o,0,85
299,GPT-4o,0,95
300,GPT-4o,0,95
301,GPT-4o,0,95
302,GPT-4o,0,85
303,GPT-4o,0,95
304,GPT-4o,0,95
305,GPT-4o,0,95
306,GPT-4o,0,95
307,GPT-4o,0,95
308,GPT-4o,0,95
309,GPT-4o,0,95
310,HUMAN,0,95
311,GPT-4o,0,95
312,HUMAN,0,95
313,GPT-4o,0,95
314,GPT-4o,0,95
315,HUMAN,0,95
316,HUMAN,0,95
317,GPT-4o,0,95
318,GPT-4o,0,95
319,GPT-4o,0,95
320,GPT-4o,0,95
321,GPT-4o,0,95
322,GPT-4o,0,95
323,GPT-4o,0,95
324,GPT-4o,0,95
325,GPT-4o,0,95
326,GPT-4o,0,95
327,GPT-4o,0,95
328,HUMAN,0,85
329,HUMAN,0,95
330,HUMAN,0,95
331,GPT-4o,0,95
332,GPT-4o,0,95
333,HUMAN,0,95
334,HUMAN,0,95
335,GPT-4o,0,95
336,GPT-4o,0,95
337,HUMAN,0,95
338,HUMAN,0,95
339,GPT-4o,0,95
340,HUMAN,0,85
341,GPT-4o,0,95
342,GPT-4o,0,95
343,GPT-4o,0,95
344,GPT-4o,0,95
345,GPT-4o,0,95
346,GPT-4o,0,95
347,HUMAN,0,95
348,HUMAN,0,95
349,HUMAN,0,50
350,GPT-4o,0,95
351,GPT-4o,0,95
352,GPT-4o,0,95
353,HUMAN,0,95
354,HUMAN,0,95
355,HUMAN,0,95
356,GPT-3.5,0,95
357,GPT-3.5,0,95
358,GPT-3.5,0,95
359,GPT-3.5,0,95
360,GPT-3.5,0,95
361,GPT-3.5,0,85
362,GPT-3.5,0,95
363,GPT-3.5,0,95
364,GPT-3.5,0,95
365,GPT-3.5,0,95
366,HUMAN,0,95
367,HUMAN,0,95
368,HUMAN,0,85
369,GPT-3.5,0,95
370,GPT-3.5,0,95
371,GPT-3.5,0,85
372,GPT-3.5,0,85
373,GPT-3.5,0,95
374,GPT-3.5,0,85
375,GPT-3.5,0,50
376,GPT-3.5,0,95
377,GPT-3.5,0,50
378,GPT-3.5,0,95
379,GPT-3.5,0,95
380,GPT-3.5,0,95
381,GPT-3.5,0,95
382,GPT-3.5,0,95
383,GPT-4o,0,95
384,GPT-4o,0,95
385,GPT-4o,0,95
